product_id,name,category_id,price,description,created_at
PROD-00000001,Elite Speaker Model 624,CAT-003-7208bde3,1607.07,High-quality speaker for all your needs. Elite edition with advanced features.,2022-01-30T14:25:32
PROD-00000002,Pro Cover Version 277,CAT-009-70bb8935,666.64,High-quality cover for all your needs. Pro edition with advanced features.,2022-10-04T12:16:23
PROD-00000003,Essential Phone Series 842,CAT-001-37321c58,2417.08,High-quality phone for all your needs. Essential edition with advanced features.,2023-05-31T09:00:53
PROD-00000004,Ultra Tablet Series 936,CAT-010-030b3d37,2630.33,High-quality tablet for all your needs. Ultra edition with advanced features.,2022-09-04T16:05:01
PROD-00000005,Elite Screen Version 906,CAT-008-da46913e,437.18,High-quality screen for all your needs. Elite edition with advanced features.,2021-03-09T19:35:29
PROD-00000006,Elite Memory  270,CAT-010-030b3d37,1291.01,High-quality memory for all your needs. Elite edition with advanced features.,2024-12-17T23:22:07
PROD-00000007,Max Cable Series 142,CAT-009-70bb8935,1485.6,High-quality cable for all your needs. Max edition with advanced features.,2020-05-26T09:15:05
PROD-00000008,Essential Monitor Series 643,CAT-003-7208bde3,2378.31,High-quality monitor for all your needs. Essential edition with advanced features.,2023-08-04T14:31:42
PROD-00000009,Portable Tablet Version 391,CAT-010-030b3d37,2988.39,High-quality tablet for all your needs. Portable edition with advanced features.,2024-07-01T21:37:30
PROD-00000010,Ultra Memory Model 697,CAT-002-1859ba33,2048.3,High-quality memory for all your needs. Ultra edition with advanced features.,2024-07-26T07:24:35
PROD-00000011,Advanced Speaker Edition 115,CAT-005-a929d897,1309.94,High-quality speaker for all your needs. Advanced edition with advanced features.,2023-11-10T16:05:30
PROD-00000012,Premium Speaker  781,CAT-003-7208bde3,1527.96,High-quality speaker for all your needs. Premium edition with advanced features.,2020-11-26T14:33:57
PROD-00000013,Essential Watch  624,CAT-004-3c98b695,466.98,High-quality watch for all your needs. Essential edition with advanced features.,2021-05-16T21:58:09
PROD-00000014,Wireless Battery Model 614,CAT-006-8d6f4037,1470.92,High-quality battery for all your needs. Wireless edition with advanced features.,2020-12-13T13:27:43
PROD-00000015,Smart Cable Edition 246,CAT-001-37321c58,730.2,High-quality cable for all your needs. Smart edition with advanced features.,2024-10-28T17:11:58
PROD-00000016,Basic Tablet Version 836,CAT-002-1859ba33,2934.16,High-quality tablet for all your needs. Basic edition with advanced features.,2024-07-13T01:27:02
PROD-00000017,Advanced Keyboard Series 676,CAT-008-da46913e,2841.07,High-quality keyboard for all your needs. Advanced edition with advanced features.,2021-05-28T00:45:30
PROD-00000018,Ultra Battery  434,CAT-004-3c98b695,2787.44,High-quality battery for all your needs. Ultra edition with advanced features.,2021-09-16T22:54:37
PROD-00000019,Standard Watch Version 688,CAT-006-8d6f4037,1319.91,High-quality watch for all your needs. Standard edition with advanced features.,2024-05-27T01:15:07
PROD-00000020,Plus Monitor Series 231,CAT-002-1859ba33,1020.87,High-quality monitor for all your needs. Plus edition with advanced features.,2024-09-16T23:22:56
PROD-00000021,Elite Storage Series 8,CAT-002-1859ba33,2126.43,High-quality storage for all your needs. Elite edition with advanced features.,2020-07-01T21:56:46
PROD-00000022,Elite Tablet Model 881,CAT-006-8d6f4037,221.85,High-quality tablet for all your needs. Elite edition with advanced features.,2022-01-09T10:54:42
PROD-00000023,Ultra Screen Series 553,CAT-003-7208bde3,2172.81,High-quality screen for all your needs. Ultra edition with advanced features.,2024-11-09T04:03:33
PROD-00000024,Portable Screen Series 804,CAT-008-da46913e,2424.41,High-quality screen for all your needs. Portable edition with advanced features.,2021-08-14T13:59:33
PROD-00000025,Basic Monitor Version 363,CAT-007-592f34fa,1239.19,High-quality monitor for all your needs. Basic edition with advanced features.,2020-06-17T07:17:46
PROD-00000026,Compact Monitor Model 413,CAT-006-8d6f4037,2403.76,High-quality monitor for all your needs. Compact edition with advanced features.,2020-12-05T11:41:22
PROD-00000027,Elite Headphones Series 550,CAT-008-da46913e,429.14,High-quality headphones for all your needs. Elite edition with advanced features.,2021-07-24T01:51:35
PROD-00000028,Ultra Cover Series 896,CAT-002-1859ba33,1334.95,High-quality cover for all your needs. Ultra edition with advanced features.,2024-09-05T19:13:46
PROD-00000029,Basic Phone  857,CAT-001-37321c58,2907.29,High-quality phone for all your needs. Basic edition with advanced features.,2022-01-04T09:43:56
PROD-00000030,Pro Case Version 493,CAT-004-3c98b695,2595.29,High-quality case for all your needs. Pro edition with advanced features.,2020-07-01T04:10:21
PROD-00000031,Pro Stand Model 400,CAT-005-a929d897,2780.28,High-quality stand for all your needs. Pro edition with advanced features.,2023-11-14T15:52:59
PROD-00000032,Ultra Case  678,CAT-008-da46913e,472.83,High-quality case for all your needs. Ultra edition with advanced features.,2022-07-10T20:08:21
PROD-00000033,Elite Phone  754,CAT-009-70bb8935,192.25,High-quality phone for all your needs. Elite edition with advanced features.,2022-09-01T08:04:11
PROD-00000034,Premium Phone  489,CAT-009-70bb8935,2758.96,High-quality phone for all your needs. Premium edition with advanced features.,2024-07-08T03:38:07
PROD-00000035,Pro Phone  83,CAT-003-7208bde3,214.87,High-quality phone for all your needs. Pro edition with advanced features.,2020-07-30T03:31:45
PROD-00000036,Compact Camera Version 123,CAT-010-030b3d37,746.17,High-quality camera for all your needs. Compact edition with advanced features.,2020-05-03T11:21:11
PROD-00000037,Portable Tablet Version 674,CAT-010-030b3d37,1700.02,High-quality tablet for all your needs. Portable edition with advanced features.,2022-09-09T22:14:43
